Tweet,Label
pagi-pagi sudah dibuat emosi.,Anger
"kok stabilitas negara? memang sepuluh tahun negara tidak aman. bahkan susilo bambang yudhoyono menyuburkan organisasi masyarakat radikal, intoleran, teroris yang berafiliasi ke partai tertentu. narasi kelihatan intelektual tapi bodoh.",Anger
sudahlah emosi melulu lihat manchester united.,Anger
"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan, yakni kekejian. jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng, apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adalah benar. lantas apa bedanya?",Anger
"dih, kamu yang menyebalkan bodoh.",Anger
asli memalukan orang indonesia bodoh yang latah cilukba pakai huruf hijaiyah sama bersetubuh sama ganti huruf t pakai salib. ada tiktok filipina lewat for your page aku dan balasannya bersetubuh semua. dasar bodoh tren tiktok terbodoh.,Anger
drama anak baru gede bodoh.,Anger
"masih emosi sih sama katla kemarin. mana keterangannya begini saja, hasil mengaci. kesal.",Anger
"bangsat penghormatan nomor satu, bencana nomor dua mau mengalahkan ini sepertinya.",Anger
"ingin pergi jauh terus berteriak sambil menangis sekencang-kencangnya, nanti balik kalau aku sudah lupa segalanya. haha kan bodoh, mustahil sekali.",Anger
ya allah mau marah tapi bagaimana ya.,Anger
silabus kita memang kemampuan berfikir aras tinggi gila babi. bodoh yang membuat silabus ini. pembelajaran seharusnya menyenangkan.,Anger
"pagi-pagi dikerjai orang haha dikira aku bodoh, ya aku ladeni lah lihat sampai mana.",Anger
"angka covid lagi naik. kalau masih dilanjutkan acara offlinenya, asli bodoh sih merek ini.",Anger
"bukan lebih ke sangar sih, kalau menurutku bodoh bin tolol. diingatkan untuk kebaikan malah acuh.",Anger
"mas menjajakan diri dulu mas, biar otaknya jadi segar lagi. bagi orang kafir seperti kamu bersetubuh dengan perempuan tuna susila ibadah yang utama. punya bodoh kok keterlaluan sekali.",Anger
"satu sampai sepuluh, marah aku.",Anger
bodoh banget. mana ada bercinta? yang ada mimpi dikejar-kejar setan semalam. anak kecil bodoh ini yang iya iya saja kalau bicara.,Anger
"izinkan suami berpoligami buat menghindari zina? lucu sekali, apakah nabi saya berpoligami karena mata keranjang terus bernafsu? terus ada niat zina, tapi biar tidak zina jadi dinikahi? melirik perempuan sambil menyebarkan ajaran agama begitu? bodoh, belajar agama lagi sana.",Anger
aku menyerah joki saja kali ya tugas puisi. ya allah kenapa aku bodoh bahasa inggris.,Anger
hah? seperti dendam sekali sama ibu.,Anger
"huah benci covid sekali. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. ya tuhan, tolong.",Anger
"benci sekali sama diri sendiri, gampang menangis kalau ngobrol sama orang tua.",Anger
